Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,TD,Y/A,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
225,74,1,1,1992-09-06,MIN,@,GNB,W 23-20 (OT),*,9,2,27,13.5,0,22.2,3.0,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,,0,,0,0,0,0
226,86,1,1,1993-09-05,MIN,@,RAI,L 7-24,*,8,7,74,10.6,0,87.5,9.3,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,,0,,0,1,0,0
227,102,1,1,1994-09-04,MIN,@,GNB,L 10-16,*,7,5,35,7.0,0,71.4,5.0,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0
228,118,1,1,1995-09-03,MIN,@,CHI,L 14-31,*,10,5,83,16.6,0,50.0,8.3,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0
229,134,1,1,1996-09-01,MIN,,DET,W 17-13,*,11,8,88,11.0,1,72.7,8.0,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0
230,150,1,1,1997-08-31,MIN,@,BUF,W 34-13,*,11,8,121,15.1,2,72.7,11.0,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0
231,166,1,1,1998-09-06,MIN,,TAM,W 31-7,*,8,5,31,6.2,2,62.5,3.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0
232,182,1,1,1999-09-12,MIN,@,ATL,W 17-14,*,10,7,70,10.0,1,70.0,7.0,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0
233,198,1,1,2000-09-03,MIN,,CHI,W 30-27,*,5,2,26,13.0,0,40.0,5.2,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0
234,214,1,1,2001-09-09,MIN,,CAR,L 13-24,*,6,5,44,8.8,1,83.3,7.3,0,0,0,,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0
